fid,FUNCION_PRINCIPAL,SUBCATEGORIA,ESTABLECIMIENTO,FUNCION_SECUNDARIA,PROGRAMACION,SUCURSAL,SALA,CALLE,ALTURA,BARRIO,COMUNA,DIRECCION,LONGITUD,LATITUD,TELEFONO,MAIL,WEB,,FACEBOOK,TWITTER,INSTAGRAM,CAMARA_1,CAMARA_2,REDES,PUNTO_DE_CULTURA,OTRAS_REDES,CANTIDAD_SALAS,CAPACIDAD_TOTAL,TAG
390,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - FUNDACION PARA LA LUCHA CONTRA LAS ENFERMEDADES NEUROLOGICAS DE LA INFANCIA (FLENI). INSTITUTO DE INVESTIGACIONES NEUROLOGICAS RAUL CARREA . DEPARTAMENTO DE DOCENCIA E INVESTIGACION,,,,,MONTAÑESES,2325,BELGRANO,COMUNA 13,"MONTAÑESES 2325, CABA",-58.450773,-34.55517,5777-3200 INT. 3964,BIBLIOTECA@FLENI.ORG.AR,WWW.FLENI.ORG.AR/WEB/INVESTIGACION_BIBLIOTECA.PHP?IDIOMA=ES,,,,,CAICYT,RENICS,,,,,0,
391,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - FUNDACION PODER CIUDADANO,,,,,PIEDRAS,547,MONSERRAT,COMUNA 1,"PIEDRAS 547, CABA",-58.377552,-34.614593,4331-4925,ASVETAZ@PODERCIUDADANO.ORG,,,,,,RENDIAP,,,,,,0,
392,BIBLIOTECA,ESPECIALIZADA EMPRESARIAL,BIBLIOTECA - GERENCIA MEDICO CIENTIFICA,,,,,MONROE,1378,BELGRANO,COMUNA 13,"MONROE 1378, CABA",-58.449506,-34.552176,(011) 4784-0071. 77 Int. 289,INFOSCHERING@COM.AR,,,,,,CAICYT,,,,,,0,
393,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - HOSPITAL DE GASTROENTEROLOGIA DR. CARLOS UDAONDO,,,,,CASEROS AV.,2061,PARQUE PATRICIOS,COMUNA 4,"CASEROS AV. 2061, CABA",-58.391362,-34.634349,4306-4640/43 AL 49,,,,,,,BIBLIOMED,,,,,,0,
394,BIBLIOTECA,ESPECIALIZADA EMPRESARIAL,BIBLIOTECA - HOSPITAL ESPANOL - SOCIEDAD MEDICA,,,,,BELGRANO AV.,2975,BALVANERA,COMUNA 3,"BELGRANO AV. 2975, CABA",-58.407868,-34.614934,(011) 4956-1048,HEBIBLIO@INTRAMED.NET.AR,HTTP:// WWW.HOSPITALESPANOLAR.COM.AR,,,,,CAICYT,,,,,,0,
395,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - HOSPITAL FRANCES (CEFRAN),,,,,LA RIOJA,951,SAN CRISTOBAL,COMUNA 3,"LA RIOJA 951, CABA",-58.407507,-34.621544,4866-2546 al 60 / 4971-1081 4956-1471,"BIBLIOTECAFRANCESA@INFOVIA.COM.AR, MTROISTMONTS@YAHOO.COM.AR, BIBFRA@PCCP.COM.AR",,,,,,RENICS,,,,,,0,
396,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - HOSPITAL MATERNO INFANTIL RAMON SARDA,,,,,"LUCA, ESTEBAN DE",2151,PARQUE PATRICIOS,COMUNA 4,"LUCA, ESTEBAN DE 2151, CABA",-58.40254,-34.634826,4941-6099 FAX (54.011) 4943-7779,BIBLIOTECASARDA@TUTOPIA.COM,WWW.SARDA.ORG.AR,,,,,BIBLIOMED,RENICS,,,,,0,
397,BIBLIOTECA,SINDICAL,BIBLIOTECA - IEC. INSTITUTO DE ESTUDIOS Y CAPACITACION. CONADU. FEDERACION NACIONAL DE DOCENTES UNIVERSITARIOS.,,,,,PASCO,255,BALVANERA,COMUNA 3,"PASCO 255, CABA",-58.397473,-34.61257,(54-11) 4953-5037,IEC@CONADU.ORG.AR,HTTP://WWW.IEC-CONADU.ORG.AR,,,,,CLACSO,,,,,,0,
398,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - INSTITUTO DE CIENCIAS AMBIENTALES Y SALUD,,,,,PAYSANDU,752,CABALLITO,COMUNA 6,"PAYSANDU 752, CABA",-58.451276,-34.614972,"(011) 4431-2445, 4432-1111",CURSOS.ECDICAS@GMAIL.COM,HTTP://WWW.AMBIENTE.GOV.AR/?APLICACION=NOTICIAS&IDARTICULO=2221&IDSECCION=12,,,,,CAICYT,,,,,,0,
399,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - INSTITUTO DE DESARROLLO ECONOMICO Y SOCIAL - IDES,,,,,ARAOZ,2838,PALERMO,COMUNA 14,"ARAOZ 2838, CABA",-58.412354,-34.583839,4804-4949 INT.110 FAX: 4804-5856,BIBLIOTECA@IDES.ORG.AR,HTTP://WWW.IDES.ORG.AR/BIBLIOTECA/,,,,,CLACSO,UNIRED,,,,,0,
400,BIBLIOTECA,ESCOLAR,BIBLIOTECA - INSTITUTO DE EDUCACION FISICA N° 2 PROF. FEDERICO DICKENS,,,,,CURAPALIGUE AV.,1150,PARQUE CHACABUCO,COMUNA 7,"CURAPALIGUE AV. 1150, CABA",-58.446581,-34.635756,4921-4644,ELISAMILANO@YAHOO.COM.AR MARILASUAREZ@YAHOO.COM.AR,HTTP://ISEF2.CABA.INFD.EDU.AR/SITIO/,,,,,COMENIUS,,,,,,0,
401,BIBLIOTECA,ESPECIALIZADA GUBERNAMENTAL,BIBLIOTECA - INSTITUTO DE EDUCACION SUPERIOR DEL EJERCITO (IESE) - ESCUELA SUPERIOR TECNICA,,,,,CABILDO AV.,15,PALERMO,COMUNA 14,"CABILDO AV. 15, CABA",-58.435743,-34.574592,11 4779-3300,ESTBIB@IESE.EDU.AR,HTTP://WWW.INGENIERIAEST.IESE.EDU.AR/INDEX.PHP,,,,,SIU,,,,,,0,
402,BIBLIOTECA,ESCOLAR,BIBLIOTECA - INSTITUTO DE EDUCACION SUPERIOR EN LENGUAS VIVAS JUAN RAMON FERNANDEZ,,,,,"PELLEGRINI, CARLOS",1515,RETIRO,COMUNA 1,"PELLEGRINI, CARLOS 1515, CABA",-58.381308,-34.590316,4322-3998 INT. 121,BIBLIOTECALENGUASVIVAS@YAHOO.COM.AR,HTTP://IESLVF.CABA.INFD.EDU.AR/SITIO/,,,,,COMENIUS,,,,,,0,
403,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - INSTITUTO DE EDUCACION SUPERIOR J. B. JUSTO,,,,,LASCANO,3840,VILLA DEL PARQUE,COMUNA 11,"LASCANO 3840, CABA",-58.496036,-34.613016,4639-3981,BUBITA63@YAHOO.COM.AR VIRGI_2007@YAHOO.COM.AR,HTTP://WWW.GCBA.GOV.AR/AREAS/EDUCACION/EDUCACI?N B?SICA/EDUCACI?N B?SICA/SUPERIOR/JBJUSTO/DEFAULT.HTM,,,,,COMENIUS,,,,,,0,
404,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - INSTITUTO DE EDUCACION SUPERIOR N° 1 DRA ALICIA MOREAU DE JUSTO,,,,,CORDOBA AV.,2016,BALVANERA,COMUNA 3,"CORDOBA AV. 2016, CABA",-58.39601,-34.599787,4374-4068 INT. 4,SANDRASAYAGO1@HOTMAIL.COM,HTTP://IES1.CABA.INFD.EDU.AR/SITIO/,,,,,COMENIUS,,,,,,0,
405,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - INSTITUTO DE INVESTIGACIONES JURIDICA Y SOCIALES AMBROSIO L. GIOJA. FACULTAD DE DERECHO Y CIENCIAS SOCIALES. UNIVERSIDAD DE BUENOS AIRES.,,,,,"FIGUEROA ALCORTA, PRES. AV.",2263,RECOLETA,COMUNA 2,"FIGUEROA ALCORTA, PRES. AV. 2263, CABA",-58.392374,-34.583292,011-4-809-5629/5632,"BIBGIOJA@DERECHO.UBA.AR, GIOJA@DERECHO.UBA.AR",HTTP://WWW.DERECHO.UBA.AR/INVESTIGACION/INV_INST_GIOJA_BIBLIOTECA.PHP,,,,,BIBLIOTECASJURIRED,,,,,,0,
406,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - INSTITUTO DE INVESTIGACIONES METABOLICAS (IDIM),,,,,LIBERTAD,836,RETIRO,COMUNA 1,"LIBERTAD 836, CABA",-58.384105,-34.598775,(011) 5031-9700 INT. 4121,BIBLIO@IDIM.COM.AR VDELASCASAS@IDIM.COM.AR,WWW.IDIM.COM.AR,,,,,RENICS,,,,,,0,
407,BIBLIOTECA,ESCOLAR,BIBLIOTECA - INSTITUTO DE TECNOLOGIA ORT 2,,,,,MONTAÑESES,2845,NUÑEZ,COMUNA 13,"MONTAÑESES 2845, CABA",-58.454707,-34.550659,(011) 4789 6529/6429,GIMARCO@ORT.EDU.AR,HTTP://CAMPUS.ORT.EDU.AR/,,,,,VITRUVIO,,,,,,0,
408,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - INSTITUTO DEL PROFESORADO EN ENFERMERIA PADRE LUIS TEZZA,,,,,"GALLARDO, ANGEL AV.",839,VILLA CRESPO,COMUNA 15,"GALLARDO, ANGEL AV. 839, CABA",-58.442141,-34.606292,(011) 4854-0032,"BIBLIOTECA@INSTITUTOTEZZA.ORG.AR,",WWW.INSTITUTOTEZZA.ORG.AR/BIB_INSTITUCIONAL.HTM,,,,,RENICS,,,,,,0,
409,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - INSTITUTO NACIONAL DE DIAGNOSTICO E INVESTIGACION DE LA ENFERMEDAD DE CHAGAS - CENTRO BIBLIOGRAFICO DE ENFERMEDADES ENDEMICAS,,,,,PASEO COLON AV.,568,MONSERRAT,COMUNA 1,"PASEO COLON AV. 568, CABA",-58.368912,-34.614368,"(011) 4331-7732. 4017. 2330, 4343-5622 Int. 04",,,,,,,CAICYT,,,,,,0,
410,BIBLIOTECA,ESPECIALIZADA GUBERNAMENTAL,BIBLIOTECA - INSTITUTO NACIONAL DE LA PROPIEDAD INDUSTRIAL (IMPI),,,,,PASEO COLON AV.,717,SAN TELMO,COMUNA 1,"PASEO COLON AV. 717, CABA",-58.369544,-34.616263,4344-4978 / 4344-4979,"LPELAYA@INPI.GOV.AR, INFOBIBLIO@INPI.GOV.AR",WWW.INPI.GOV.AR/DOCS/BIBLIOTECA.HTM,,,,,UNIRED,,,,,,0,
411,BIBLIOTECA,ESPECIALIZADA GUBERNAMENTAL,BIBLIOTECA - INSTITUTO NACIONAL DEL MEDICAMENTO,,,,,CASEROS AV.,2161,PARQUE PATRICIOS,COMUNA 4,"CASEROS AV. 2161, CABA",-58.39311,-34.634742,(011) 4340-0800 Int. 2521 biblioteca^d(011) 4305-8674 direcciÃ‘n,,,,,,,CAICYT,,,,,,0,
412,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - INSTITUTO SUPERIOR DE DEPORTES - INSTITUTO DE EDUCACION FISICA N° 1 DR. E. ROMERO BREST,,,,,MIGUEL B. SÁNCHEZ,1338,NUÑEZ,COMUNA 13,"SANCHEZ, MIGUEL B. AV. 1338, CABA",-58.457154,-34.543469,4702-2028/4704-1923,"ISEF1@ROMEROBREST.EDU.AR, NHPISARELLO@HOTMAIL.COM","HTTP://WWW.ISDE.COM.AR/, HTTP://WWW.ROMEROBREST.EDU.AR/",,,,,COMENIUS,,,,,,0,
413,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - INSTITUTO SUPERIOR DE TIEMPO LIBRE Y RECREACION,,,,,SANTA FE AV.,2778,RECOLETA,COMUNA 2,"SANTA FE AV. 2778, CABA",-58.405974,-34.592778,4823-5308 /4824-4403,BJAL@BUENOSAIRES.EDU.AR,HTTP://WWW.ISTLYRECREACION.EDU.AR/ISTLYR.HTM,,,,,COMENIUS,,,,,,0,
414,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - INSTITUTO SUPERIOR DEL PROFESORADO DE EDUCACION ESPECIAL,,,,,GUEMES,3859,PALERMO,COMUNA 14,"GUEMES 3859, CABA",-58.416036,-34.587036,4826-5772 / 4981-1121,PARRESIASTES@YAHOO.COM.AR,,,,,,COMENIUS,,,,,,0,
415,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - INSTITUTO SUPERIOR DEL PROFESORADO DE EDUCACION INICIAL S. ECCLESTON,,,,,DORREGO AV.,3751,PALERMO,COMUNA 14,"DORREGO AV. 3751, CABA",-58.416964,-34.562975,4771-3762,MALDONADOMONICAM@YAHOO.COM.AR,HTTP://IESECCLESTON.BUENOSAIRES.EDU.AR/,,,,,COMENIUS,,,,,,0,
416,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - INSTITUTO SUPERIOR DEL PROFESORADO JOAQUIN V. GONZALEZ,,,,,AYACUCHO,632,BALVANERA,COMUNA 3,"AYACUCHO 632, CABA",-58.395582,-34.601776,4372-8286/8394,BIBLIOTECAJVG@BUENOSAIRES.EDU.AR,HTTP://INSTITUTOJVGONZALEZ.BUENOSAIRES.EDU.AR/,,,,,COMENIUS,,,,,,0,
417,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - INSTITUTO UNIVERSITARIO DE CIENCIAS DE LA SALUD. FUNDACION ''DR.HECTOR A. BARCELO'',,,,,LAS HERAS GENERAL AV.,2191,RECOLETA,COMUNA 2,"LAS HERAS GENERAL AV. 2191, CABA",-58.395636,-34.588623,(011) 4805-2607 FAX (54.011) 4805-2607,BIBLIOTECACENTRAL@BARCELO.EDU.AR,WWW.BARCELO.EDU.AR/BIBLIOTECA.PHP,,,,,RENICS,,,,,,0,
418,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - INSTITUTO UNIVERSITARIO ESCUELA DE MEDICINA DEL HOSPITAL ITALIANO,,,,,GASCON,450,ALMAGRO,COMUNA 5,"GASCON 450, CABA",-58.424661,-34.606655,4959-0200 INT. 8426,BIBLIO@HOSPITALITALIANO.ORG.AR,WWW.HOSPITALITALIANO.ORG.AR,,,,,AMICUS,,,,,,0,
419,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - INSTITUTO UNIVERSITARIO ISEDET,,,,,CAMACUA,282,FLORES,COMUNA 7,"CAMACUA 282, CABA",-58.45717,-34.630812,(011) 4632-5030/5039 FAX (54-11) 4633-2825,INFO@ISEDET.EDU.AR,WWW.ISEDET.EDU.AR,,,,,AMICUS,,,,,,0,
420,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - INSTITUTO UNIVERSITARIO- ESCUELA SUPERIOR DE ECONOMIA Y ADMINISTRACION DE EMPRESAS (ESEADE),,,,,URIARTE,2472,PALERMO,COMUNA 14,"URIARTE 2472, CABA",-58.423072,-34.580878,4773-5825/4777-4295 FAX: (54-11) 4772-7243,BIBLIOTECA@ESEADE.EDU.AR,WWW.ESEADE.EDU.AR,,,,,AMICUS,UNIRED,,,,,0,
421,BIBLIOTECA,ESPECIALIZADA GUBERNAMENTAL,BIBLIOTECA - INTA - DEPARTAMENTO DE ESTADISTICA,,,,,"PAZ, GRAL. AV.",3101,SAAVEDRA,COMUNA 12,"PAZ, GRAL. AV. 3101, CABA",-58.49631,-34.547791,(011) 4806-7791. 5329,IDESTADI@INTA.GOV.AR,HTTP://WWW.INTA.GOV.AR/INFO/BIBLIO/BASES/CCPPAA.HTM,,,,,CAICYT,,,,,,0,
422,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - INTITUTO UNIVERSITARIO NACIONAL DEL ARTE. DEPARTAMENTO DE ARTES VISUALES PRILIDIANO PUEYRREDON,,,,,"LAS HERAS, GENERAL",1749,RECOLETA,COMUNA 2,"LAS HERAS, GENERAL 1749, CABA",-58.391318,-34.592163,4812 6262,,,,,,,VITRUVIO,,,,,,0,
423,BIBLIOTECA,ESPECIALIZADA EMPRESARIAL,BIBLIOTECA - LABORATORIO ALLERGAN-LOA,,,,,DEL LIBERTADOR AV.,498,RETIRO,COMUNA 1,"DEL LIBERTADOR AV. 498, CABA",-58.380419,-34.589736,6322-6464. EXT. 7010. FAX: 6322-6464. EXT. 7000.,,,,,,,BIBLIOMED,,,,,,0,
424,BIBLIOTECA,ESPECIALIZADA EMPRESARIAL,BIBLIOTECA - LABORATORIO GADOR SA,,,,,DARWIN,429,VILLA CRESPO,COMUNA 15,"DARWIN 429, CABA",-58.446769,-34.595351,4858-9000 FAX: 4856-0628.,SIMCI@GADOR.COM.ARDMGADOR@DATAMARKETS.COM.AR,,,,,,BIBLIOMED,,,,,,0,
425,BIBLIOTECA,ESPECIALIZADA EMPRESARIAL,BIBLIOTECA - LABORATORIO GALDERMA ARGENTINA,,,,,JURAMENTO AV.,1775,BELGRANO,COMUNA 13,"JURAMENTO AV. 1775, CABA",-58.450801,-34.558473,4124 0146 FAX: 54 11 4124 0211,BIBLIOTECA@GALDERMA.COM,HTTP://WWW.GALDERMA.COM.AR/TEMPLATE_PARADERMATOLOGO.HTML,,,,,BIBLIOMED,,,,,,0,
426,BIBLIOTECA,ESPECIALIZADA EMPRESARIAL,BIBLIOTECA - LABORATORIO ROUX OCEFA,,,,,MEDINA,138,VELEZ SARSFIELD,COMUNA 10,"MEDINA 138, CABA",-58.491931,-34.638044,"(011) 4672-5015 al 5017 Int. 20. 4687-6414. 6314, 4686-1346. 1339",,,,,,,CAICYT,,,,,,0,
427,BIBLIOTECA,ESPECIALIZADA EMPRESARIAL,BIBLIOTECA - LABORATORIOS PFORTNER,,,,,JUNCAL,2345,RECOLETA,COMUNA 2,"JUNCAL 2345, CABA",-58.400362,-34.591798,48278600,BIBLIOTECA@PFORTNER.COM,,,,,,BIBLIOMED,,,,,,0,
428,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - MAESTRIA EN ADMINISTRACION PUBLICA. UNIVERSIDAD DE BUENOS AIRES,,,,,CORDOBA AV.,2122,BALVANERA,COMUNA 3,"CORDOBA AV. 2122, CABA",-58.397929,-34.599824,4374-4448 INT 6162 TEL/FAX 4370-6162,MAPOO@ECON.UBA.AR,WWW.UBA.AR,,,,,RENDIAP,,,,,,0,
429,BIBLIOTECA,ESPECIALIZADA GUBERNAMENTAL,BIBLIOTECA - MINISTERIO DE SALUD Y ACCION SOCIAL - INSTITUTO NACIONAL DE GENETICA MEDICA,,,,,LAS HERAS GENERAL AV.,2670,RECOLETA,COMUNA 2,"LAS HERAS GENERAL AV. 2670, CABA",-58.400812,-34.584358,,POSTMASTER@INGEM.GUTI.SLD.AR,,,,,,CAICYT,,,,,,0,
430,BIBLIOTECA,ESPECIALIZADA GUBERNAMENTAL,BIBLIOTECA - MUNICIPALIDAD DE LA CIUDAD DE BUENOS AIRES - DIRECCION GENERAL JARDIN ZOOLOGICO,,,,,REPUBLICA DE LA INDIA,2900,PALERMO,COMUNA 14,"REPUBLICA DE LA INDIA 2900, CABA",-58.415437,-34.579155,"(011) 4806-7412. 7415. 7418, 4802-1901^d(011) 4802-2174. 2676",,,,,,,CAICYT,,,,,,0,
431,BIBLIOTECA,HISTORICA,BIBLIOTECA - MUSEO ARGENTINO DE CIENCIAS NATURALES 'BERNARDINO RIVADAVIA' (MACN BR),,,,,"GALLARDO, ANGEL AV.",490,CABALLITO,COMUNA 6,"GALLARDO, ANGEL AV. 490, CABA",-58.438053,-34.605083,(011) 4982-8797,MDELPRIORE@MACN.GOV.AR,HTTP://WWW.MACN.SECYT.GOV.AR,,,,,ASFIS-REDIPES,,,,,,0,
432,BIBLIOTECA,HISTORICA,BIBLIOTECA - MUSEO HISTORICO SARMIENTO,,,,,JURAMENTO AV.,2180,BELGRANO,COMUNA 13,"JURAMENTO AV. 2180, CABA",-58.454416,-34.560831,4782-2354/4781-2989,MUSEOSARMIENTO@FIBERTEL.COM.AR,WWW.MUSEOSARMIENTO.GOV.AR/BIBLIOTECA/BIBLIOTECA1.HTM,,,,,UNIRED,,,,,,0,
433,BIBLIOTECA,ARTISTICA,BIBLIOTECA - MUSEO NACIONAL DE ARTE DECORATIVO,,,,,DEL LIBERTADOR AV.,1902,PALERMO,COMUNA 14,"DEL LIBERTADOR AV. 1902, CABA",-58.400859,-34.582442,4806-8306,MUSEOLOGIA@MNAD.ORG. MUSEO@MNAD.ORG,WWW.MNAD.ORG,,,,,VITRUVIO,,,,,,0,
434,BIBLIOTECA,ARTISTICA,BIBLIOTECA - MUSEO NACIONAL DE LA HISTORIA DEL TRAJE Y EL INSTITUTO ART & DESIGN,,,,,CHILE,832,MONSERRAT,COMUNA 1,"CHILE 832, CABA",-58.377856,-34.616341,4342 8427,,,,,,,VITRUVIO,,,,,,0,
435,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - SEDE BARRIO NORTE,,,,,LARREA,1079,RECOLETA,COMUNA 2,"LARREA 1079, CABA",-58.401153,-34.595037,5252-0435 int. 2330,,WWW.PALERMO.EDU/BIBLIOTECA/,,,,,VITRUVIO,,,,,,0,
436,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - SEDE CATALINAS,,,,,"MADERO, EDUARDO AV.",942,RETIRO,COMUNA 1,"MADERO, EDUARDO AV. 942, CABA",-58.370431,-34.596363,5199-1331/1332 int. 2219,,WWW.PALERMO.EDU/BIBLIOTECA/,,,,,VITRUVIO,,,,,,0,
437,BIBLIOTECA,ESPECIALIZADA GUBERNAMENTAL,BIBLIOTECA - SERVICIO DE HIDROGRAFIA NAVAL,,,,,"MONTES DE OCA, MANUEL AV.",2124,BARRACAS,COMUNA 4,"MONTES DE OCA, MANUEL AV. 2124, CABA",-58.371328,-34.651367,(011) 4301-0061-67 / 4303-2240,"SHN@HIDRO.GOV.AR, BIBLIOTECASIHN@HIDRO.SIHN.COM",HTTP://WWW.HIDRO.GOV.AR,,,,,ASFIS-REDIPES,,,,,,0,
438,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - SERVICIO DE PAZ Y JUSTICIA (SERPAJ),,,,,PIEDRAS,730,SAN TELMO,COMUNA 1,"PIEDRAS 730, CABA",-58.377373,-34.616612,11 4021-7811/13/15/16,MARCEL_BERTOLESI@HOTMAIL.COM,HTTP://WWW.SERPAJ.ORG/,,,,,SIU,,,,,,0,
439,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - SOCIEDAD ARGENTINA DE CARDIOLOGIA,,,,,AZCUENAGA,984,RECOLETA,COMUNA 2,"AZCUENAGA 984, CABA",-58.400417,-34.596986,(011) 4961-6027. 6028. 6029,BIBLIOTECA@SAC.ORG.AR,HTTP://WWW.SAC.ORG.AR,,,,,CAICYT,,,,,,0,
440,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - SOCIEDAD ARGENTINA DE ESTUDIOS GEOGRAFICOS,,,,,RODRIGUEZ PEÑA,158,SAN NICOLAS,COMUNA 1,"RODRIGUEZ PEÑA 158, CABA",-58.390768,-34.60722,4371-2076 FAX: 4373-0588,GAEASAEG@CIUDAD.COM.AR,,,,,,UNIRED,,,,,,0,
441,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - SOCIEDAD ARGENTINA DE NUTRICION (SAN),,,,,VIAMONTE,2146,BALVANERA,COMUNA 3,"VIAMONTE 2146, CABA",-58.397726,-34.601078,4954-0400/0700,"BIBLIOTECA@SANUTRICION.ORG.AR , INFO@SANUTRICION.ORG.AR SECRETARIA@SANUTRICION.ORG.AR",WWW.SANUTRICION.ORG.AR/BIBLIOTECA.PHP,,,,,RENICS,,,,,,0,
442,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - SOCIEDAD ARGENTINA DE ORTODONCIA - SAO,,,,,MONTEVIDEO,971,RECOLETA,COMUNA 2,"MONTEVIDEO 971, CABA",-58.389711,-34.597694,(011) 4811-3220 INT. 27 FAX (54.011) 4815-5804,BIBLIOTECA@ORTODONCIA.ORG.AR,WWW.ORTODONCIA.ORG.AR,,,,,BIBLIOMED,RENICS,,,,,0,
443,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - SOCIEDAD ARGENTINA DE PSICOANALISIS,,,,,ARCOS,1521,BELGRANO,COMUNA 13,"ARCOS 1521, CABA",-58.449203,-34.56571,011 4781-3236 4784-7584,BIBLIOTECA@SAPSICOANALISIS.ORG.AR IGNACIOMANCINI@GMAIL.COM,WWW.SAPSICOANALISIS.ORG.AR,,,,,RENICS,,,,,,0,
444,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - SOCIEDAD ARGENTINA DE REUMATOLOGIA,,,,,CALLAO AV.,384,BALVANERA,COMUNA 3,"CALLAO AV. 384, CABA",-58.392373,-34.604692,011 4801-3306 FAX 4802-6618,BIBLIOTECA@REUMATOLOGIA.ORG.AR,WWW.REUMATOLOGIA.ORG.AR,,,,,RENICS,,,,,,0,
445,BIBLIOTECA,ESPECIALIZADA EMPRESARIAL,BIBLIOTECA - TECHINT,,,,,"ALEM, LEANDRO N. AV.",1067,RETIRO,COMUNA 1,"ALEM, LEANDRO N. AV. 1067, CABA",-58.372289,-34.595464,011 4311-1090/1099. 4312-7041. int. 2358,,HTP://ENGINEERING.TECHINT.COM,,,,,BIBLIOTECASJURIRED,,,,,,0,
446,BIBLIOTECA,ESPECIALIZADA GUBERNAMENTAL,BIBLIOTECA - TRIBUNAL FISCAL DE LA NACION.,,,,,RECONQUISTA,946,RETIRO,COMUNA 1,"RECONQUISTA 946, CABA",-58.373085,-34.596808,011 4312-6721/5660. int. 216,SLORUS@MECON.GOV.AR,HTP///WWW.TRIBUNALFISCAL.GOV.AR,,,,,BIBLIOTECASJURIRED,,,,,,0,
447,BIBLIOTECA,ESPECIALIZADA GUBERNAMENTAL,BIBLIOTECA - TRIBUNAL SUPERIOR DE JUSTICIA DE LA CIUDAD AUTONOMA DE BUENOS AIRES,,,,,CERRITO,760,SAN NICOLAS,COMUNA 1,"CERRITO 760, CABA",-58.382557,-34.599575,4370-8500 int. 1802/03,BIBLIOTECA@TSJBAIRES.GOV.AR,HTTP://WWW.TSJBAIRES.GOV.AR/TSJ/BIBLIOTECA.ASP?PG=SOBRE,,,,,BIBLIOTECASJURIRED,,,,,,0,
448,BIBLIOTECA,UNIVERSITARIA Y/O CIENTIFICO TECNICA,BIBLIOTECA - UBA - INSTITUTO DE CIENCIAS ANTROPOLOGICAS. SECCION ARQUEOLOGIA,,,,,25 DE MAYO,221,SAN NICOLAS,COMUNA 1,"25 DE MAYO 221, CABA",-58.370931,-34.60502,4343-1196 Int. 127,BIBLIOARQUEO@YAHOO.COM.AR,HTTP://WWW.FILO.UBA.AR/CONTENIDOS/INVESTIGACION/INSTITUTOS/ANTROPO/HOME/ANTROP-SOCIAL/INDEX.HTM,,,,,CAICYT,,,,,,0,
